id;agent;tema;regel_or_source_topic;kilde;dato_versjon;praktisk_betydning_for_tilbud;risiko;ma_fagverifiseres;change_marker;notater
SAM-001;Samfunnshensyn-agent;Klima og miljø;DFØ hovedside om klima og miljø i offentlige anskaffelser;https://www.anskaffelser.no/samfunnshensyn-i-offentlige-anskaffelser/klima-og-miljo-i-offentlige-anskaffelser;Kartlagt 2026-06-11;Inngang til klima- og miljørisiko, kriterieveiviser og 30 prosent-regel;Høy, miljøkrav og kriterier må leses mot konkurransegrunnlaget;ja;;Relevant for BAE
SAM-002;Samfunnshensyn-agent;30 prosent-regelen;DFØ-veileder til regler om klima- og miljøhensyn, FOA § 7-9;https://www.anskaffelser.no/maler-veiledere-eksempler-og-andre-verktoy/veiledere/veileder-til-regler-om-klima-og-miljohensyn-i-offentlige-anskaffelser/3-anskaffelsesforskriften-reglene-som-gjelder;Regelendring fra 2024-01-01, endringslogg mai 2024 og juli 2025;Tilbud bør svare konkret på klima/miljø når vekt er minst 30 prosent eller erstattet av krav;Høy, feil skille mellom vekting, krav og dokumentasjon kan gi evaluerings- eller avvisningsrisiko;ja;;Må vurderes mot faktisk konkurranse
SAM-003;Samfunnshensyn-agent;Klima og miljø i BAE;DFØ-veileder kapittel 9 om BAE-bruk av reglene;https://www.anskaffelser.no/maler-veiledere-eksempler-og-andre-verktoy/veiledere/veileder-til-regler-om-klima-og-miljohensyn-i-offentlige-anskaffelser/9-bygg-anlegg-og-eiendom-bruk-av-reglene;Veileder viser endringslogg juli 2025;Tilbud kan måtte dekke lavutslippsmaterialer, utslippsfri byggeplass, ombruk, avfall og massetransport;Høy, miljøløfter uten målbar dokumentasjon gir lav score eller gjennomføringsrisiko;ja;;Svært relevant for bygg/anlegg
SAM-004;Samfunnshensyn-agent;Kriterieveiviseren;DFØ verktøy for krav og kriterier;https://kriterieveiviseren.anskaffelser.no/;Ikke synlig på JS-forsiden;Gir standardiserte forslag til krav, dokumentasjon og tildelingskriterier;Middels/høy, kriterier må tilpasses konkurransegrunnlaget;ja;;Ikke ukritisk gjenbruk
SAM-005;Samfunnshensyn-agent;Seriøsitetsbestemmelser;Omforente seriøsitetsbestemmelser for bygg og anlegg;https://www.anskaffelser.no/verktoy/maler/seriositetsbestemmelser-bygg-og-anleggskontrakter-og-sjekkliste-oppfolging;Oppdatert 2025-04-11;Tilbyder bør dokumentere lønns- og arbeidsvilkår, faglærte, lærlinger, SHA/HMS, UE-bruk og kontroll;Høy, mismatch mellom bemanning, UE-kjede og vilkår gir sanksjonsrisiko;ja;;Teknisk revisjon etter seriøsitetskrav fra 2024-01-01
SAM-006;Samfunnshensyn-agent;Lønns- og arbeidsvilkår;DFØ kontraktsvilkår og risikostyringsverktøy;https://www.anskaffelser.no/verktoy/maler/kontraktsvilkar-lonns-og-arbeidsvilkar;Kontraktsvilkår oppdatert 2025-09-29;Leverandør må ha rutiner og dokumentasjon for lønn, arbeidstid, OTP, underleverandører og kontroll;Høy, brudd eller svake rutiner kan gi alvorlig kontraktsrisiko;ja;;Se også DFØ risikostyringsverktøy
SAM-007;Samfunnshensyn-agent;Risikostyring lønns- og arbeidsvilkår;DFØ risikostyringsverktøy for lønns- og arbeidsvilkår;https://www.anskaffelser.no/verktoy/analyseverktoy/risikostyringsverktoy-lonns-og-arbeidsvilkar;Oppdatert 2025-01-23;Gir sjekkpunkter for risikovurdering og kontraktsoppfølging;Høy, stedlig kontroll og innsyn må være kontraktsmessig forankret;ja;;Relevant ved seriøsitetskontroll
SAM-008;Samfunnshensyn-agent;Lærlinger;DFØ veileder om bruk av lærlinger i offentlige kontrakter;https://www.anskaffelser.no/anskaffelsesregelverk/krav-om-bruk-av-laerlinger-i-offentlige-kontrakter/veileder-om-bruk-av-laerlinger-i-offentlige-kontrakter;Endringer i kraft 2025-08-01, kapittel oppdatert 2026-03-12;Tilbud bør avklare lærlingordning, faktisk kapasitet og dokumentasjon/timelister;Høy, feil vurdering av fag, varighet, terskel, uforholdsmessighet eller tilgang gir gjennomføringsrisiko;ja;;Må kobles til kontraktens arbeid
SAM-009;Samfunnshensyn-agent;Betaling via bank;Krav om betaling via bank eller betalingsforetak i bygg/anlegg og renhold;https://www.anskaffelser.no/verktoy/veileder/krav-om-betaling-bank;Ingen tydelig dato i kartleggingen;Leverandør og UE bør kunne dokumentere sporbare lønnsutbetalinger;Høy, kontantbetaling eller manglende dokumentasjon kan gi avvik;ja;;Relevant ved kontraktsoppfølging
SAM-010;Samfunnshensyn-agent;Leverandørkjede og sosial dumping;Norgesmodellen, leddbegrensning, bankbetaling, lønns-/arbeidsvilkår og lærlinger;https://www.anskaffelser.no/samfunnshensyn-i-offentlige-anskaffelser/arbeidslivskriminalitet-og-sosial-dumping/norgesmodellen;Kartlagt 2026-06-11;Tilbyder bør beskrive UE-struktur, kontrollrutiner og seriøsitetsarbeid;Høy, for mange ledd eller uklare roller øker avviks- og kontraktsbruddsrisiko;ja;;Se også DFØ hovedside om arbeidslivskriminalitet
KOFA-001;KOFA/praksis-agent;KOFA;Klagenemnda for offentlige anskaffelser;https://www.klagenemndssekretariatet.no/klagenemda-for-offentlige-anskaffelser-kofa;Kartlagt 2026-06-11;Brukes til praksis og klageforståelse, særlig avvisning, evaluering og direkte anskaffelse;Høy, praksis må leses i fulltekst og mot faktum;ja;;Ikke generell regel alene
KOFA-002;KOFA/praksis-agent;Dokumentasjon og avklaring;KOFA utvalgt sak 2020/515 om dialog etter tilbudsfrist og kvalifikasjonskrav;https://www.klagenemndssekretariatet.no/klagenemda-for-offentlige-anskaffelser-kofa/utvalgte-saker;2020-06-15;Varsler at mangelfull dokumentasjon og ikke-oppfylt kvalifikasjonskrav må skilles;Høy, etterfølgende reparasjon kan være problematisk;ja;;Les full sak før bruk
KOFA-003;KOFA/praksis-agent;Ettersending og avklaring;DFØ kapittel 35 om avklaringsadgangen;https://www.anskaffelser.no/veileder-til-reglene-om-offentlige-anskaffelser/35-ettersendings-og-avklaringsadgangen;Løpende DFØ-veileder;Kontrollpunkt for om noe kan avklares, ettersendes eller må stå ved lag;Høy, små formuleringer kan endre tilbudets innhold;ja;;Knyttes til avvisningskort REG-009
KOFA-004;KOFA/praksis-agent;Evaluering;KOFA utvalgt sak 2019/589 om evalueringsmodell og tildelingskriterier;https://www.klagenemndssekretariatet.no/klagenemda-for-offentlige-anskaffelser-kofa/utvalgte-saker;2019-09-20;Nyttig for å forstå svar på pris, kvalitet og organisasjon når modellen bruker prisfradrag eller lignende;Middels/høy, evaluering beror på konkurransegrunnlaget;ja;;Les full sak før bruk
KOFA-005;KOFA/praksis-agent;Ulovlig direkte anskaffelse rammeavtale;KOFA utvalgt sak 2021/615 om minikonkurranse og avrop;https://www.klagenemndssekretariatet.no/klagenemda-for-offentlige-anskaffelser-kofa/utvalgte-saker;2021-05-05;Relevant ved vurdering av avrop, fordelingsnøkkel og rammeavtalens hjemmel;Høy, avrop uten klar hjemmel kan gi klagerisiko;ja;;Les full sak før bruk
KOFA-006;KOFA/praksis-agent;Vesentlig endring;KOFA utvalgt sak 2018/7 om skytjenester som endring av rammeavtale;https://www.klagenemndssekretariatet.no/klagenemda-for-offentlige-anskaffelser-kofa/utvalgte-saker;2018-01-12;Viktig ved opsjoner, fremtidige behov og hva som faktisk er konkurranseutsatt;Høy, endring eller avrop kan vurderes som ny anskaffelse;ja;;Les full sak før bruk
KOFA-007;KOFA/praksis-agent;Gebyrpraksis bygg/anlegg;KOFA nyhet om gebyr for ulovlig direkte anskaffelse av bygge- og anleggsarbeider;https://www.klagenemndssekretariatet.no/klagenemda-for-offentlige-anskaffelser-kofa/kofa-aktuelt/gebyr-for-ulovlig-direkte-anskaffelse-av-bygge-og-anleggsarbeider;Nyhet 2026-03-30, vedtak 2026-03-27;Viser at bygg/anlegg er aktivt område for gebyr ved direkte anskaffelse;Høy, bare praksisindikator og ikke generell regel;ja;;Les vedtaket ved konkret bruk
RES-001;Forskning-agent;NOU 2023:26;Ny lov om offentlige anskaffelser, første delutredning;https://www.regjeringen.no/no/dokumenter/nou-2023-26/id3013726/;Avgitt 2023-11-10;Bakgrunn for foreslått struktur, formål, samfunnshensyn og forenkling;Høy, forslag er ikke automatisk gjeldende rett;ja;;Reformmateriale
RES-002;Forskning-agent;NOU 2024:9;Ny lov om offentlige anskaffelser, andre delutredning, blant annet avvisning;https://www.regjeringen.no/no/dokumenter/nou-2024-9/id3039569/;2024;Bakgrunn for avvisningsregler og KOFA-klager;Høy, må skilles fra gjeldende regler;ja;;Reformmateriale
RES-003;Forskning-agent;Anskaffelsesundersøkelsen;DFØ anskaffelsesundersøkelsen 2024;https://www.anskaffelser.no/innkjopsledelse/anskaffelsesundersokelsen;Oppdatert 2024-06-20;Gir kontekst om modenhet, kompetanse, digitalisering, klima/miljø og prosesskvalitet;Middels, statistikk og undersøkelse er ikke rettskilde;ja;;Metode- og modenhetskilde
RES-004;Forskning-agent;LLM juridisk kvalitet;Large Legal Fictions, legal hallucinations in LLMs;https://arxiv.org/abs/2401.01301;2024-01-02;Relevant ved bruk av LLM til regeloppsummeringer, rettskildehenvisninger og tilbudstekst;Høy, LLM-output kan inneholde falske kilder eller feil premisser;ja;;Metodekilde for LLM-dommer
RES-005;Forskning-agent;LLM hallucination evaluation;HaluEval benchmark for hallucination evaluation;https://arxiv.org/abs/2305.11747;2023-05-19;Relevant for QA av AI-generert tilbudsinnhold mot kildedokumenter;Middels/høy, metodekilde og ikke anskaffelsesrett;ja;;Brukes kun metodisk
